scripCode,companyName,securityID
500108,MAHANAGAR TELEPHONE NIGAM LTD.,MTNL
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,MRPL
500110,CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO
500112,STATE BANK OF INDIA,SBIN
500113,STEEL AUTHORITY OF INDIA LTD.,SAIL
500114,Titan Company Limited,TITAN
500116,IDBI BANK LTD.,IDBI
500117,DCW LTD.,DCW
500119,DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG
500120,DIAMINES & CHEMICALS LTD.,DIAMINESQ
500123,ELANTAS BECK INDIA LTD.,ELANTAS
500124,DR.REDDY'S LABORATORIES LTD.,DRREDDY
500125,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY
500126,Procter & Gamble Health Ltd,PGHL
500128,ELECTROSTEEL CASTINGS LTD.,ELECTCAST
500133,ESAB INDIA LTD.,ESABINDIA
500135,EPL Ltd,EPL
500136,ESTER INDUSTRIES LTD.,ESTER
500142,FGP LTD.,FGP
500143,PH CAPITAL LTD.,PHCAP
500144,FINOLEX CABLES LTD.,FINCABLES
500147,John Cockerill India Ltd,COCKERILL
500148,UFLEX LTD.,UFLEX
500150,FOSECO INDIA LTD.,FOSECOIND
500151,GOLDEN TOBACCO LTD.,GOLDENTOBC
500153,GANESH BENZOPLAST LTD.,GANESHBE
500159,Metroglobal Limited,METROGLOBL
500160,GTL LTD.,GTL
500163,GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP
500164,GODREJ INDUSTRIES LTD.,GODREJIND
500165,KANSAI NEROLAC PAINTS LTD.,KANSAINER
500166,GOODRICKE GROUP LTD.,GOODRICKE
500168,GOODYEAR INDIA LTD.,GOODYEAR
500170,GTN INDUSTRIES LTD.,GTNINDS
500171,GHCL LTD.,GHCL
500173,GFL Ltd,GFLLIMITED
500174,GUJARAT LEASE FINANCING LTD.,GLFL
500179,HCL INFOSYSTEMS LTD.,HCL-INSYS
500180,HDFC Bank Ltd,HDFCBANK
500182,HERO MOTOCORP LTD.,HEROMOTOCO
500183,HFCL Ltd,HFCL
500184,Himadri Speciality Chemical Ltd,HSCL
500185,HINDUSTAN CONSTRUCTION CO.LTD.,HCC
500186,HINDUSTAN OIL EXPLORATION CO.LTD.,HINDOILEXP
500187,Agi Greenpac Ltd,AGI
500188,HINDUSTAN ZINC LTD.,HINDZINC
500189,NDL Ventures Ltd,NDLVENTURE
500191,HMT LTD.,HMT
500192,PRAG BOSIMI SYNTHETICS LTD.,PRAGBOS
500193,HLV Ltd,HLVLTD
500199,I G PETROCHEMICALS LTD.,IGPL
500201,INDIA GLYCOLS LTD.,INDIAGLYCO
500202,INDIA LEASE DEVELOPMENT LTD.,INDLEASE
500206,Margo Finance Limited,MARGOFIN
500207,INDO RAMA SYNTHETICS (INDIA) LTD.,INDORAMA
500209,INFOSYS LTD.,INFY
500210,INGERSOLL-RAND (INDIA) LTD.,INGERRAND
500213,INTERNATIONAL TRAVEL HOUSE LTD.,ITHL
500214,ION EXCHANGE (INDIA) LTD.,IONEXCHANG
500215,AGRO TECH FOODS LTD.,ATFL
500219,JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS
500220,JASCH INDUSTRIES LTD.,JASCH
500227,JINDAL POLY FILMS LTD.,JINDALPOLY
500228,JSW STEEL LTD.,JSWSTEEL
500231,UMANG DAIRIES LTD.,UMANGDAIRY
500233,KAJARIA CERAMICS LTD.,KAJARIACER
500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM
500235,KALYANI STEELS LTD.,KSL
500238,WHIRLPOOL OF INDIA LTD.,WHIRLPOOL
500239,KG DENIM LTD.,KGDENIM
500240,KINETIC ENGINEERING LTD.,KINETICENG
500241,KIRLOSKAR BROTHERS LTD.,KIRLOSBROS
500243,Kirloskar Industries Ltd,KIRLOSIND
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,KIRLFER
500246,ENVAIR ELECTRODYNE LTD.,ENVAIREL
500247,KOTAK MAHINDRA BANK LTD.,KOTAKBANK
500248,Krishna Filament Industries Ltd,KRIFILIND
500249,KSB Ltd,KSB
500250,L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD
500251,TRENT LTD.,TRENT
500252,LAKSHMI MACHINE WORKS LTD.,LMW
500253,LIC HOUSING FINANCE LTD.,LICHSGFIN
500257,LUPIN LTD.,LUPIN
500259,LYKA LABS LTD.,LYKALABS
500260,The Ramco Cements Limited,RAMCOCEM
500264,MAFATLAL INDUSTRIES LTD.,MAFATIND
500265,MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES
500266,MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER
500267,MAJESTIC AUTO LTD.,MAJESAUT
500268,MANALI PETROCHEMICAL LTD.,MANALIPETC
500271,Max Financial Services Ltd,MFSL
500277,MID INDIA INDUSTRIES LTD.,MIDINDIA
500279,MIRC ELECTRONICS LTD.,MIRCELECTR
500280,CENTURY ENKA LTD.,CENTENKA
500284,LORDS CHLORO ALKALI LTD.,LORDSCHLO
500285,SPICEJET LTD.,SPICEJET
500288,MOREPEN LABORATORIES LTD.,MOREPENLAB
500290,MRF LTD.,MRF
500292,HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG
500294,NCC Limited,NCC
500295,Vedanta Limited,VEDL
500296,NAHAR SPINNING MILLS LTD.,NAHARSPING
500298,NATIONAL PEROXIDE LTD.,NAPEROL
500300,GRASIM INDUSTRIES LTD.,GRASIM
500302,PIRAMAL ENTERPRISES LTD.,PEL
500304,NIIT LTD.,NIITLTD
500306,JAYKAY ENTERPRISES LTD.,JAYKAY
500307,NIRLON LTD.,NIRLON
500312,Oil and Natural Gas Corporation Ltd,ONGC
500313,OIL COUNTRY TUBULAR LTD.,OILCOUNTUB
500314,ORIENTAL HOTELS LTD.,ORIENTHOT
500317,OSWAL AGRO MILLS LTD.,OSWALAGRO
500319,INDIAN SUCROSE LTD.,INDSUCR
500322,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,PANCM
500325,RELIANCE INDUSTRIES LTD.,RELIANCE
500327,Pil Italica Lifestyle Ltd,PILITA
500330,RAYMOND LTD.,RAYMOND
500331,PIDILITE INDUSTRIES LTD.,PIDILITIND
500333,PIX TRANSMISSIONS LTD.,PIXTRANS
500335,BIRLA CORPORATION LTD.,BIRLACORPN
500336,SURYA ROSHNI LTD.,SURYAROSNI
500337,PRIME SECURITIES LTD.,PRIMESECU
500338,Prism Johnson Ltd,PRSMJOHNSN
500339,Rain Industries Ltd,RAIN
500343,AMJ Land Holdings Ltd,AMJLAND
500346,PUNJAB COMMUNICATIONS LTD.,PUNJCOMMU
500350,RSWM LTD.,RSWM
500354,RAJSHREE SUGARS & CHEMICALS LTD.,RAJSREESUG
500355,RALLIS INDIA LTD.,RALLIS
500356,SHREE RAMA NEWSPRINT LTD.,RAMANEWS
500357,RAMA PAPER MILLS LTD.,RAMAPPR-B
500358,RAMA PETROCHEMICALS LTD.,RAMAPETRO
500360,RAPICUT CARBIDES LTD.,RAPICUT
500365,Welspun Specialty Solutions Ltd,WELSPLSOL
500366,ROLTA INDIA LTD.,ROLTA
500367,RUBFILA INTERNATIONAL LTD.,RUBFILA
500368,Patanjali Foods Ltd,PATANJALI
500370,SALORA INTERNATIONAL LTD.,SALORAINTL
500378,JINDAL SAW LTD.,JINDALSAW
500380,JK LAKSHMI CEMENT LTD.,JKLAKSHMI
500387,SHREE CEMENT LTD.,SHREECEM
500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,SKPMIL
500390,RELIANCE INFRASTRUCTURE LTD.,RELINFRA
500400,TATA POWER CO.LTD.,TATAPOWER
500402,SPML Infra Limited,SPMLINFRA
500403,SUNDRAM FASTENERS LTD.,SUNDRMFAST
500404,SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG
500405,SUPREME PETROCHEM LTD.,SPLPETRO
500407,SWARAJ ENGINES LTD.,SWARAJENG
500408,TATA ELXSI LTD.,TATAELXSI
500410,ACC LTD.,ACC
500411,THERMAX LTD.,THERMAX
500412,THIRUMALAI CHEMICALS LTD.,TIRUMALCHM
500413,THOMAS COOK (INDIA) LTD.,THOMASCOOK
500414,TIMEX GROUP INDIA LTD.,TIMEX
500418,TOKYO PLAST INTERNATIONAL LTD.,TOKYOPLAST
500420,TORRENT PHARMACEUTICALS LTD.,TORNTPHARM
500422,TRANSCHEM LTD.,TRANSCHEM
500425,AMBUJA CEMENTS LTD.,AMBUJACEM
500426,UTL Industries Limited,UTLINDS
500429,UNIPHOS ENTERPRISES LTD.,UNIENTER
500439,VARDHMAN HOLDINGS LTD.,VHL
500440,HINDALCO INDUSTRIES LTD.,HINDALCO
500444,WEST COAST PAPER MILLS LTD.,WSTCSTPAPR
500449,HINDUSTAN ORGANIC CHEMICALS LTD.,HOCL
500450,MPIL CORPORATION LTD.,MPILCORPL
500456,PASUPATI ACRYLON LTD.,PASUPTAC
500458,Kore Foods Ltd,KORE
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,PGHH
500460,MUKAND LTD.,MUKANDLTD
500463,Black Box Ltd,BBOX
500464,Ucal  Ltd,UCAL
500467,HARRISONS MALAYALAM LTD.,HARRMALAYA
500469,FEDERAL BANK LTD.,FEDERALBNK
500470,TATA STEEL LTD.,TATASTEEL
500472,SKF India Ltd,SKFINDIA
500477,ASHOK LEYLAND LTD.,ASHOKLEY
500480,CUMMINS INDIA LTD.,CUMMINSIND
500483,TATA COMMUNICATIONS LTD.,TATACOMM
500488,ABBOTT INDIA LTD.,ABBOTINDIA
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,BAJAJHLDNG
500493,BHARAT FORGE LTD.,BHARATFORG
500495,Escorts Kubota Ltd,ESCORTS
500500,HINDUSTAN MOTORS LTD.,HINDMOTORS
500510,LARSEN & TOUBRO LTD.,LT
500520,MAHINDRA & MAHINDRA LTD.,M&M
500530,BOSCH LTD.,BOSCHLTD
500540,PREMIER LTD.,PREMIER
500547,BHARAT PETROLEUM CORPORATION LTD.,BPCL
500550,SIEMENS LTD.,SIEMENS
500570,TATA MOTORS LTD.,TATAMOTORS
500575,VOLTAS LTD.,VOLTAS
500620,GREAT EASTERN SHIPPING CO.LTD.,GESHIP
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,DEEPAKFERT
500650,EXCEL INDUSTRIES LTD.,EXCELINDUS
500655,Garware Hi-Tech Films Ltd,GRWRHITECH
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,GLAXO
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,GNFC
500672,NOVARTIS INDIA LTD.,NOVARTIND
500674,Sanofi India Ltd,SANOFI
500680,PFIZER LTD.,PFIZER
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,GSFC
500696,HINDUSTAN UNILEVER LTD.,HINDUNILVR
500710,Akzo Nobel India Limited,AKZOINDIA
500730,NOCIL LTD.,NOCIL
500770,TATA CHEMICALS LTD.,TATACHEM
500777,TAMILNADU PETROPRODUCTS LTD.,TNPETRO
500780,Zuari Industries Ltd,ZUARIIND
500790,NESTLE INDIA LTD.,NESTLEIND
500800,Tata Consumer Products Ltd,TATACONSUM
500820,ASIAN PAINTS LTD.,ASIANPAINT
500825,BRITANNIA INDUSTRIES LTD.,BRITANNIA
500830,COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL
500840,EIH LTD.,EIHOTEL
500850,INDIAN HOTELS CO.LTD.,INDHOTEL
500870,CASTROL INDIA LTD.,CASTROLIND
500875,ITC LTD.,ITC
500877,APOLLO TYRES LTD.,APOLLOTYRE
500878,CEAT LTD.,CEATLTD
500890,MODI RUBBER LTD.,MODIRUBBER
500940,FINOLEX INDUSTRIES LTD.,FINPIPE
501144,PEOPLES INVESTMENTS LTD.,PEOPLIN
501148,DALAL STREET INVESTMENTS LTD.,DSINVEST
501150,CENTRUM CAPITAL LTD.,CENTRUM
501242,TCI FINANCE LTD.,TCIFINANCE
501295,INDUSTRIAL INVESTMENT TRUST LTD.,IITL
501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,INDPRUD
501301,TATA INVESTMENT CORPORATION LTD.,TATAINVEST
501311,JAYABHARAT CREDIT LTD.,JAYBHCR
501314,Gromo Trade & Consultancy Ltd,PRISMX
501343,MOTOR & GENERAL FINANCE LTD.,MOTOGENFIN
501351,RAPID INVESTMENTS LTD.,RAPIDIN
501370,WALCHAND PEOPLEFIRST LTD.,WALCHPF
501391,W.H.BRADY & CO.LTD.,WHBRADY
501421,TECHNVISION VENTURES LTD.,TECHNVISN
501423,SHAILY ENGINEERING PLASTICS LTD.,SHAILY
501425,BOMBAY BURMAH TRADING CORP.LTD.,BBTC
501430,BOMBAY CYCLE & MOTOR AGENCY LTD.,BOMBCYC
501455,GREAVES COTTON LTD.,GREAVESCOT
501477,MULLER & PHIPPS (INDIA) LTD.,MULLER
501622,Amalgamated Electricity Co.ltd.,AMALGAM
501700,INDIANIVESH LTD.,INDIANVSH
501831,COASTAL CORPORATION LTD.,COASTCORP
501833,CHOWGULE STEAMSHIPS LTD.,CHOWGULSTM
501848,GLOBAL OFFSHORE SERVICES LTD.,GLOBOFFS
501945,DHENU BUILDCON INFRA LTD.,DHENUBUILD
502015,ASI Industries Ltd,ASIIL
502090,SAGAR CEMENTS LTD.,SAGCEM
502137,DECCAN CEMENTS LTD.,DECCANCE
502157,MANGALAM CEMENT LTD.,MANGLMCEM
502168,NCL INDUSTRIES LTD.,NCLIND
502175,SAURASHTRA CEMENT LTD.,SAURASHCEM
502180,SHREE DIGVIJAY CEMENT CO.LTD.,SHREDIGCEM
502219,Borosil Renewables Ltd,BORORENEW
502250,Lerthai Finance Ltd,LERTHAI
502271,RAASI REFRACTORIES LTD.,RASSIREF
502281,TRIVENI GLASS LTD.,TRIVENIGQ
502294,Nilachal Refractories Ltd.,NILACHAL
502330,Andhra Paper Ltd,ANDHRAPAP
502355,BALKRISHNA INDUSTRIES LTD.,BALKRISIND
502420,ORIENT PAPER & INDUSTRIES LTD.,ORIENTPPR
502445,CITADEL REALTY AND DEVELOPERS LTD.,CITADEL
502448,ROLLATAINERS LTD.,ROLLT
502450,SESHASAYEE PAPER & BOARDS LTD.,SESHAPAPER
502587,Nath Industries Ltd,NATHIND
502589,VAPI PAPER MILLS LTD.,VAPIENTER
502820,DCM LTD.,DCM
502865,FORBES & COMPANY LTD.,FORBESCO
502873,H.P.COTTON TEXTILE MILLS LTD.,HPCOTTON
502893,United Interactive Ltd.,UNITEDINT
502901,Jamshri Realty Ltd,JAMSHRI
502933,KATARE SPINNING MILLS LTD.,KATRSPG
502937,KESORAM INDUSTRIES LTD.,KESORAMIND
502958,LAKSHMI MILLS COMPANY LTD.,LAKSHMIMIL
502986,VARDHMAN TEXTILES LTD.,VTL
503031,PENINSULA LAND LTD.,PENINLAND
503092,PASUPATI SPG.& WVG.MILLS LTD.,PASUSPG
503100,The Phoenix Mills Ltd,PHOENIXLTD
503101,MARATHON NEXTGEN REALTY LTD.,MARATHON
503127,RAJA BAHADUR INTERNATIONAL LTD.,RAJABAH
503162,RELIANCE CHEMOTEX INDUSTRIES LTD.,RELCHEMQ
503169,RUBY MILLS LTD.,RUBYMILLS
503229,SIMPLEX REALTY LTD.,SIMPLXREA
503310,SWAN ENERGY LTD.,SWANENERGY
503349,VICTORIA MILLS LTD.,VICTMILL
503624,SVARAJ TRADING & AGENCIES LTD.,ZSVARAJT
503641,Zodiac Ventures Limited,ZODIACVEN
503657,VEER ENERGY & INFRASTRUCTURE LTD.,VEERENRGY
503659,Sw Investments Ltd,SW1
503663,Tilak Ventures Ltd,TILAK
503675,Wagend Infra Venture Limited,WAGEND
503681,ELCID INVESTMENTS LTD.,ELCIDIN
503685,MEDIAONE GLOBAL ENTERTAINMENT LTD.,MEDIAONE
503722,BANSWARA SYNTEX LTD.,BANSWRAS
503772,MODELLA WOOLLENS LTD.,MODWOOL
503776,MODIPON LTD.,MODIPON
503804,SHRI DINESH MILLS LTD.,SHRIDINE
503806,SRF LTD.,SRF
503811,SIYARAM SILK MILLS LTD.,SIYSIL
503816,SWADESHI POLYTEX LTD.,SWADPOL
503837,SHREE RAJASTHAN SYNTEX LTD.,SHRAJSYNQ
503863,SHREE MANUFACTURING CO.LTD.,SHRMFGC
503960,BHARAT BIJLEE LTD.,BBL
504000,ELPRO INTERNATIONAL LTD.,ELPROINTL
504028,GEE LTD.,GEE
504036,HIND RECTIFIERS LTD.,HIRECT
504058,INDO-NATIONAL LTD.,NIPPOBATRY
504067,ZENSAR TECHNOLOGIES LTD.,ZENSARTECH
504076,JYOTI LTD.,JYOTI
504080,JSL INDUSTRIES LTD.,JSLINDL
504084,KAYCEE INDUSTRIES LTD.,KAYCEEI
504092,INDOKEM LTD.,INDOKEM
504093,PANASONIC ENERGY INDIA COMPANY LTD.,PANAENERG
504112,NELCO LTD.,NELCO
504132,PERMANENT MAGNETS LTD.,PERMAGN
504176,HIGH ENERGY BATTERIES (INDIA) LTD.,HIGHENE
504180,STANDARD BATTERIES LTD.,STDBAT
504212,UNIVERSAL CABLES LTD.,UNIVCABLES
504220,W.S.INDUSTRIES (INDIA) LTD.,WSI
504240,DELTON CABLES LTD.,DLTNCBL
504258,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,LAKSELEC
504273,Modulex Construction Technologies Ltd,MODULEX
504286,Delta Manufacturing Ltd,DELTAMAGNT
504340,Confidence Finance And Trading Limited,LONGSPUR
504341,Ravindra Energy Ltd,RELTD
504346,G.d.trading & Agencies Ltd.,RRP
504351,EMPOWER INDIA LTD.,EMPOWER
504356,MULTIPURPOSE TRADING & AGENCIES LTD.,ZMULTIPU
504369,GRANDMA TRADING & AGENCIES LTD.,GRANDMA
504378,Nyssa Corporation Limited,NYSSACORP
504380,Flomic Global Logistics Ltd,FLOMIC
504392,Krishna Ventures Limited,KRISHNA
504605,UNI ABEX ALLOY PRODUCTS LTD.,UNIABEXAL
504614,SARDA ENERGY & MINERALS LTD.,SARDAEN
504646,BHAGWATI AUTOCAST LTD.,BGWTATO
504648,BOMBAY WIRE ROPES LTD.,BOMBWIR
504731,INDIAN BRIGHT STEEL CO.LTD.,AZADIND
504741,INDIAN HUME PIPE CO.LTD.,INDIANHUME
504746,INDIAN LINK CHAIN MANUFACTURES LTD.,INLCM
504786,INVESTMENT & PRECISION CASTINGS LTD.,INVPRECQ
504810,INFORMED TECHNOLOGIES INDIA LTD.,INFORTEC
504840,KAIRA CAN CO.LTD.,KAIRA
504879,Orient Ceratech Ltd,ORIENTCER
504882,NATIONAL STANDARD (INDIA) LTD.,NATIONSTD
504903,RATHI STEEL & POWER LTD.,RATHIST
504908,Duncan Engineering Ltd,DUNCANENG
504918,SANDUR MANGANESE & IRON ORES LTD.,SANDUMA
504959,STOVEC INDUSTRIES LTD.,STOVACQ
504973,Cholamandalam Financial Holdings Ltd,CHOLAHLDNG
504988,WELCAST STEELS LTD.,ZWELCAST
505010,AUTOMOTIVE AXLES LTD.,AUTOAXLES
505029,ATLAS CYCLES (HARYANA) LTD.,ATLASCYCLE
505036,AUTOMOBILE CORPORATION OF GOA LTD.,ACGL
505075,SETCO AUTOMOTIVE LTD.,SETCO
505160,TALBROS AUTOMOTIVE COMPONENTS LTD.,TALBROAUTO
505163,Z.F.STEERING GEAR (INDIA) LTD.,ZFSTEERING
505192,SML ISUZU LIMITED,SMLISUZU
505196,TIL LTD.,TIL
505200,EICHER MOTORS LTD.,EICHERMOT
505212,JAINEX AAMCOL LTD.,JAINEX
505216,ALFRED HERBERT (INDIA) LTD.,ALFREDHE
505232,Veljan Denison Limited,VELJAN
505242,DYNAMATIC TECHNOLOGIES LTD.,DYNAMATECH
505250,G.G.DANDEKAR MACHINE WORKS LTD.,GGDPROP
505255,GMM PFAUDLER LTD.,GMMPFAUDLR
505283,KIRLOSKAR PNEUMATIC CO.LTD.,KIRLPNU
505285,Tulive Developers Limited,TULIVE
505299,KPT Industries Ltd,KPT
505302,LAKSHMI AUTOMATIC LOOM WORKS LTD.,LAKSHMIEW
505320,LYNX MACHINERY & COMMERCIALS LTD.,LYNMC
505324,MANUGRAPH INDIA LTD.,MANUGRAPH
505336,Mirch Technologies (India) Ltd,HARSHILAGR
505343,MONOTYPE INDIA LTD.,MONOT
505355,NESCO LTD.,NESCO
505358,INTEGRA ENGINEERING INDIA LTD.,INTEGRAEN
505368,REVATHI EQUIPMENT LTD.,SEMAC
505400,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,TEXINFRA
505412,WENDT (INDIA) LTD.,WENDT
505502,PS IT Infrastructure & Services Limited,PSITINFRA
505504,SINDU VALLEY TECHNOLOGIES LTD.,GHVINFRA
505509,RESPONSIVE INDUSTRIES LTD.,RESPONIND
505515,SHYAMKAMAL INVESTMENTS LTD.,SHYMINV
505520,HEM HOLDINGS & TRADING LTD.,ZHEMHOLD
505523,MAHARASHTRA CORPORATION LTD.,MAHACORP
505526,Dolat Algotech Ltd,DOLATALGO
505533,Westlife Foodworld Ltd,WESTLIFE
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,ZEEL
505590,SVP Global Textiles Ltd,SVPGLOB
505650,SKYLINE MILLARS LTD.,SKYLMILAR
505681,BIMETAL BEARINGS LTD.,BIMETAL
505685,TAPARIA TOOLS LTD.,TAPARIA
505688,BHARAT GEARS LTD.,BHARATGEAR
505690,BRADY & MORRIS ENGINEERING CO.LTD.,BRADYM
505693,La Tim Metal & Industries Ltd,LATIMMETAL
505700,ELECON ENGINEERING CO.LTD.,ELECON
505703,DECCAN BEARINGS LTD.,DECANBRG
505710,GRAUER & WEIL (INDIA) LTD.,GRAUWEIL
505712,Him Teknoforge Ltd,HIMTEK
505714,GABRIEL INDIA LTD.,GABRIEL
505720,HERCULES HOISTS LTD.,HERCULES
505725,Algoquant Fintech Ltd,AQFINTECH
505726,IFB INDUSTRIES LTD.,IFBIND
505729,SINGER INDIA LTD.,SINGER
505737,INTERNATIONAL COMBUSTION (INDIA) LTD.,INTLCOMBQ
505744,FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE
505750,JOST'S ENGINEERING CO.LTD.,JOSTS
505790,Schaeffler India Ltd,SCHAEFFLER
505797,MIPCO SEAMLESS RINGS (GUJARAT) LTD.,MPCOSEMB
505800,RANE HOLDINGS LTD.,RANEHOLDIN
505827,SNL BEARINGS LTD.,SNL
505840,JAIPAN INDUSTRIES LTD.,JAIPAN
505850,MANGAL CREDIT AND FINCORP LTD.,MANCREDIT
505854,TRF LTD.,TRF
505872,WPIL LTD.,WPIL
505890,KENNAMETAL INDIA LTD.,KENNAMET
505893,Hindustan Hardy Ltd,HINDHARD
505978,TRITON VALVES LTD.,TRITONV
506003,SUDAL INDUSTRIES LTD.,SUDAI
506022,PRAKASH INDUSTRIES LTD.,PRAKASH
506074,Arshiya Limited,ARSHIYA
506076,GRINDWELL NORTON LTD.,GRINDWELL
506105,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.,STANROS
506109,GENESYS INTERNATIONAL CORPORATION LTD.,GENESYS
506122,Pankaj Piyush Trade & Investment Ltd,VOLKAI
506128,PARNAX LAB LTD.,PARNAXLAB
506134,INTELLIVATE CAPITAL VENTURES LTD.,GOURMET
506146,VISAGAR POLYTEX LTD.,VIVIDHA
506180,Emergent Industrial Solutions Ltd,EMERGENT
506184,KANANI INDUSTRIES LTD.,KANANIIND
506186,Galaxy Cloud Kitchens Ltd,GCKL
506194,Arihant Superstructures Limited,ARIHANTSUP
506197,BLISS GVS PHARMA LTD.,BLISSGVS
506222,Styrenix Performance Materials Ltd,STYRENIX
506235,ALEMBIC LTD.,ALEMBICLTD
506248,AMINES & PLASTICIZERS LTD.,AMNPLST
506260,ANUH PHARMA LTD.,ANUHPHR
506261,Modison Ltd,MODISONLTD
506285,BAYER CROPSCIENCE LTD.,BAYERCROP
506365,CHEMO PHARMA LABORATORIES LTD.,CHEMOPH
506390,Heubach Colorants India Ltd,HEUBACHIND
506395,COROMANDEL INTERNATIONAL LTD.,COROMANDEL
506401,DEEPAK NITRITE LTD.,DEEPAKNTR
506405,DMCC Speciality Chemicals Ltd,DMCC
506414,Fermenta Biotech Ltd,FERMENTA
506480,GOCL Corporation Ltd,GOCLCORP
506520,JAYSHREE CHEMICALS LTD.,JAYCH
506525,KANORIA CHEMICALS & INDUSTRIES LTD.,KANORICHEM
506528,KELTECH ENERGIES LTD.,KELENRG
506530,KEMP & COMPANY LTD.,KEMP
506532,NITTA GELATIN INDIA LTD.,NITTAGELA
506543,M.P.AGRO INDUSTRIES LTD.,MPAGI
506579,ORIENTAL CARBON & CHEMICALS LTD.,OCCL
506590,PCBL Ltd,PCBL
506597,AMAL LTD.,AMAL
506605,POLYCHEM LTD.,POLYCHEM
506618,PUNJAB CHEMICALS AND CROP PROTECTION LTD.,PUNJABCHEM
506640,Gujchem Distillers India Ltd.,GUJCMDS
506642,SADHANA NITROCHEM LTD.,SADHNANIQ
506655,SUDARSHAN CHEMICAL INDUSTRIES LTD.,SUDARSCHEM
506685,ULTRAMARINE & PIGMENTS LTD.,ULTRAMAR
506687,TRANSPEK INDUSTRY LTD.,TRANSPEK
